AF-S Micro NIKKOR 60mm f/2.8G ED,60,2.8
Industar 50-2 50mm f/3.5,50,3.5
Ai-S Nikkor 105mm f/2.5,105,2.5
Ai-S Nikkor 85mm f/2,85,2
Ai-S Nikkor 50mm f/1.4,50,1.4
Ai-S Nikkor 28mm f/2.8,28,2.8
SMC TAKUMAR 55mm F1.8,55,1.8
Canon New FD28mm F2.8,28,2.8
EL-Nikkor 50mm f/2.8,50,2.8
